Numero da Venda;Data da Venda;Data do Envio;ID Canal;ID Loja;ID Produto;ID Promocao;ID Cliente;Quantidade Vendida;Quantidade Devolvida
7;01/01/2017;09/01/2017;8;10;1261;2;11720;4;1
13;01/01/2017;01/01/2017;0;13;167;2;25632;4;1
120;01/01/2017;01/01/2017;0;16;331;2;12249;4;0
128;01/01/2017;01/01/2017;0;14;1123;2;8064;4;0
191;01/01/2017;01/01/2017;0;13;67;2;13591;4;0
193;01/01/2017;05/01/2017;4;14;974;2;7768;4;0
207;01/01/2017;04/01/2017;3;10;1527;2;12563;9;1
219;01/01/2017;02/01/2017;1;13;1653;2;14856;4;1
242;01/01/2017;02/01/2017;1;24;813;2;31123;4;1
260;01/01/2017;05/01/2017;4;24;880;2;29082;8;1
334;01/01/2017;07/01/2017;6;10;1080;2;25660;9;1
353;01/01/2017;01/01/2017;0;25;1069;2;31989;9;0
370;01/01/2017;01/01/2017;0;9;1559;2;32677;9;0
376;01/01/2017;05/01/2017;4;16;37;2;21204;9;0
381;01/01/2017;01/01/2017;0;14;780;2;15338;9;0
386;01/01/2017;02/01/2017;1;14;660;2;32137;9;0
405;01/01/2017;01/01/2017;0;24;637;2;26480;9;0
406;01/01/2017;01/01/2017;0;10;325;2;2253;9;0
413;01/01/2017;03/01/2017;2;24;792;2;18654;9;0
424;01/01/2017;05/01/2017;4;14;270;2;10447;9;0
433;01/01/2017;01/01/2017;0;9;1324;2;7493;9;0
456;01/01/2017;01/01/2017;0;25;698;2;17853;9;0
466;01/01/2017;06/01/2017;5;16;681;2;9395;9;0
505;01/01/2017;02/01/2017;1;9;1018;2;15459;9;0
525;01/01/2017;06/01/2017;5;16;1118;2;13238;9;0
545;01/01/2017;01/01/2017;0;16;670;2;6849;9;0
562;01/01/2017;03/01/2017;2;16;1043;2;8032;9;0
564;01/01/2017;01/01/2017;0;17;1353;2;10968;9;0
572;01/01/2017;01/01/2017;0;9;1484;2;17030;9;0
601;01/01/2017;01/01/2017;0;9;458;2;33023;12;0
606;01/01/2017;07/01/2017;6;17;430;2;12170;12;0
854;01/01/2017;01/01/2017;0;15;1318;2;6172;4;0
935;01/01/2017;01/01/2017;0;13;597;2;19743;4;0
940;01/01/2017;01/01/2017;0;17;1003;2;17987;4;0
1060;01/01/2017;01/01/2017;0;16;2491;2;20166;80;0
1065;01/01/2017;01/01/2017;0;9;420;2;37484;27;0
